I_ARBRE X Y N_ESSENCE NOM N_PARCELLE
19352 46.5 54.5 614 Mouamba 4
19370 84 92 614 Mouamba 4
19372 107 52.5 614 Mouamba 4
19373 107 50 614 Mouamba 4
19375 100 32 614 Mouamba 4
19376 103 28.5 614 Mouamba 4
19446 75.5 62.5 614 Mouamba 4
19481 27.5 110.5 614 Mouamba 4
19551 96.5 74 614 Mouamba 4
19558 90 34 614 Mouamba 4
19652 116 100.5 614 Mouamba 4
19690 21 32 614 Mouamba 4
19701 67.5 49 614 Mouamba 4
19921 49 56 614 Mouamba 4
19955 111.5 118 614 Mouamba 4
99472 13.5 76.5 614 Mouamba 4
99490 114 97.5 614 Mouamba 4
99502 104.5 31.5 614 Mouamba 4
99504 70.5 33 614 Mouamba 4
105792 67.5 59.5 614 Mouamba 4
105808 108 97 614 Mouamba 4
105814 106.5 121 614 Mouamba 4
20036 126.5 51 614 Mouamba 4
20038 125 53 614 Mouamba 4
20078 133 89.5 614 Mouamba 4
20123 146 98 614 Mouamba 4
20138 141 70 614 Mouamba 4
20159 145 37.5 614 Mouamba 4
20375 183 123.5 614 Mouamba 4
20379 190 119.5 614 Mouamba 4
20388 186 106.5 614 Mouamba 4
20395 181.5 91 614 Mouamba 4
20498 192.5 105.5 614 Mouamba 4
20519 202.5 119.5 614 Mouamba 4
20581 210.5 1 614 Mouamba 4
20753 226.5 3 614 Mouamba 4
20773 236.5 37 614 Mouamba 4
20876 247 17.5 614 Mouamba 4
20952 243.5 26 614 Mouamba 4
21071 139.5 28 614 Mouamba 4
21194 201 1.5 614 Mouamba 4
21221 195 71 614 Mouamba 4
21263 226.5 17 614 Mouamba 4
21287 130.5 64 614 Mouamba 4
21301 136.5 103 614 Mouamba 4
97943 129.5 82 614 Mouamba 4
99518 126.5 40 614 Mouamba 4
15254 1.5 205 224 Wapa  4
15264 5 232 224 Wapa  4
15265 0.5 221 224 Wapa  4
15275 3 246.5 224 Wapa  4
15296 11.5 225 224 Wapa  4
15298 13 219.5 224 Wapa  4
15301 19.5 216 224 Wapa  4
15313 10.5 209 224 Wapa  4
15319 10 201.5 224 Wapa  4
15350 20 171 224 Wapa  4
15459 27.5 237 224 Wapa  4
15472 37 247.5 224 Wapa  4
15478 37 235 224 Wapa  4
15483 39 229 224 Wapa  4
15484 41.5 227.5 224 Wapa  4
15490 36.5 218 224 Wapa  4
15505 40 199.5 224 Wapa  4
15653 48 232 224 Wapa  4
15655 44 235.5 224 Wapa  4
15662 49.5 247.5 224 Wapa  4
15672 52.5 235 224 Wapa  4
15676 54.5 227 224 Wapa  4
15685 56.5 217.5 224 Wapa  4
15690 55.5 208.5 224 Wapa  4
15716 59 179.5 224 Wapa  4
15786 63.5 162.5 224 Wapa  4
15791 64.5 170 224 Wapa  4
